Captura,Entrada,AG
1,0,0
2,0,0.29265320769377
3,0,0.698089571918335
4,0,1.12067998282498
5,0,1.54453622337222
6,0.235,1.97442640421633
7,0.469,2.40483435748751
8,0.704,2.83856472338212
9,1.056,3.27317799361726
10,1.525,3.71335142249496
11,1.877,4.1582631837941
12,2.346,4.60863233557914
13,2.698,5.06273761631739
14,2.933,5.52404863880625
15,3.402,5.99563995999575
16,3.871,6.47490866550151
17,4.575,6.95553477238873
18,5.044,7.44555770880805
19,5.513,7.941693272697
20,5.983,8.44333392642601
21,6.804,8.95522568440511
22,7.273,9.47339104259
23,7.859,9.996871643094
24,8.446,10.5259510554738
25,8.915,11.0559557381805
26,9.854,11.5950860002404
27,10.675,12.1420890980864
28,11.144,12.6898106176366
29,11.848,13.2388199691978
30,12.552,13.7917887355975
31,13.021,14.3436516651892
32,14.076,14.9000917320085
33,14.78,15.4549814730558
34,15.367,16.0093862674609
35,16.071,16.5626305356232
36,17.126,17.1110810163074
37,17.83,17.6582773674471
38,18.417,18.2018480010141
39,19.238,18.7420637921414
40,19.942,19.2708147069926
41,20.645,19.7964202848332
42,21.349,20.3092298626605
43,22.053,20.8147178957168
44,23.109,21.3105949284559
45,23.93,21.7993143152462
46,24.634,22.274451964194
47,25.924,22.7618900677116
48,26.745,23.1805374793359
49,27.566,23.6499402552247
50,28.387,24.0318608949177
51,29.912,24.4320537117431
52,30.264,24.8180266958837
53,31.085,25.2276958588895
54,31.789,25.5502655327898
55,32.258,25.8890463114801
56,32.845,26.2101797093799
57,33.079,26.6311811426895
58,33.197,26.8129976907155
59,33.314,27.0904758780135
60,33.314,27.3548230025577
61,33.314,27.6028958455712
62,33.314,27.8440464004214
63,33.079,28.0602368255877
64,32.962,28.2621619996413
65,32.728,28.4588199850918
66,32.61,28.6290967436013
67,32.141,28.806842127482
68,31.906,28.9454167060811
69,31.672,29.0892524881726
70,31.32,29.2248829642307
71,31.085,29.350034998787
72,30.851,29.4790230495526
73,30.499,29.5795017600853
74,30.147,29.6852028299816
75,29.912,29.7915870511917
76,29.678,29.8876160460925
77,28.857,29.9830543642344
78,28.857,30.0795993149092
79,28.622,30.1766882960267
80,28.387,30.2755628533649
81,28.153,30.3775950222088
82,27.918,30.4856135054046
83,27.801,30.5953477578833
84,27.566,30.7143035210723
85,27.449,30.8378038112885
86,27.332,30.9669471980878
87,27.214,31.1046290621526
88,27.097,31.2502639001998
89,27.214,31.4011174498285
90,27.214,31.5727452220019
91,27.332,31.7530927364977
92,27.449,31.9424768918296
93,27.566,32.1411170520253
94,27.801,32.3529425985602
95,27.918,32.5717885040482
96,28.153,32.7989777765446
97,28.622,33.0400223281285
98,28.857,33.2814615270956
99,29.795,33.5443774680851
100,30.381,33.8152581602298
101,30.968,34.0972990989629
